epiweek_id,county_id,respiratory_illness_type,care_type,county_ili_percent,state_ili_percent,deviation_from_state_average
202340,32,COVID-19,Hospitalizations,3.8,1.05265,2.74735
202340,33,COVID-19,Hospitalizations,3.8,1.05265,2.74735
202340,26,COVID-19,Hospitalizations,3.8,1.05265,2.74735
202340,10,COVID-19,Hospitalizations,3.8,1.05265,2.74735
202340,32,COVID-19,Emergency Visits,2.7,1.05265,1.64735
202340,33,COVID-19,Emergency Visits,2.7,1.05265,1.64735
202340,26,COVID-19,Emergency Visits,2.7,1.05265,1.64735
202340,10,COVID-19,Emergency Visits,2.7,1.05265,1.64735
202340,34,COVID-19,Hospitalizations,3.8,1.05265,2.74735
202340,23,COVID-19,Hospitalizations,3.8,1.05265,2.74735
202340,14,COVID-19,Hospitalizations,3.8,1.05265,2.74735
202340,25,COVID-19,Hospitalizations,3.8,1.05265,2.74735
202340,21,COVID-19,Hospitalizations,3.8,1.05265,2.74735
202340,34,COVID-19,Emergency Visits,2.5,1.05265,1.44735
202340,23,COVID-19,Emergency Visits,2.5,1.05265,1.44735
202340,14,COVID-19,Emergency Visits,2.5,1.05265,1.44735
202340,25,COVID-19,Emergency Visits,2.5,1.05265,1.44735
202340,21,COVID-19,Emergency Visits,2.5,1.05265,1.44735
202340,39,COVID-19,Hospitalizations,2.3,1.05265,1.2473499999999997
202340,19,COVID-19,Hospitalizations,2.3,1.05265,1.2473499999999997
202340,39,COVID-19,Emergency Visits,2.4,1.05265,1.3473499999999998
202340,19,COVID-19,Emergency Visits,2.4,1.05265,1.3473499999999998
202340,17,COVID-19,Hospitalizations,2.4,1.05265,1.3473499999999998
202340,17,COVID-19,Emergency Visits,2.3,1.05265,1.2473499999999997
202340,37,COVID-19,Hospitalizations,2.9,1.05265,1.8473499999999998
202340,29,COVID-19,Hospitalizations,2.9,1.05265,1.8473499999999998
202340,31,COVID-19,Hospitalizations,2.9,1.05265,1.8473499999999998
202340,28,COVID-19,Hospitalizations,2.9,1.05265,1.8473499999999998
202340,15,COVID-19,Hospitalizations,2.9,1.05265,1.8473499999999998
202340,37,COVID-19,Emergency Visits,2.8,1.05265,1.7473499999999997
202340,29,COVID-19,Emergency Visits,2.8,1.05265,1.7473499999999997
202340,31,COVID-19,Emergency Visits,2.8,1.05265,1.7473499999999997
202340,28,COVID-19,Emergency Visits,2.8,1.05265,1.7473499999999997
202340,15,COVID-19,Emergency Visits,2.8,1.05265,1.7473499999999997
202340,5,COVID-19,Hospitalizations,1.8,1.05265,0.74735
202340,16,COVID-19,Hospitalizations,1.8,1.05265,0.74735
202340,18,COVID-19,Hospitalizations,1.8,1.05265,0.74735
202340,5,COVID-19,Emergency Visits,2.6,1.05265,1.54735
202340,16,COVID-19,Emergency Visits,2.6,1.05265,1.54735
202340,18,COVID-19,Emergency Visits,2.6,1.05265,1.54735
202340,6,COVID-19,Hospitalizations,4.2,1.05265,3.1473500000000003
202340,30,COVID-19,Hospitalizations,4.2,1.05265,3.1473500000000003
202340,20,COVID-19,Hospitalizations,4.2,1.05265,3.1473500000000003
202340,8,COVID-19,Hospitalizations,4.2,1.05265,3.1473500000000003
202340,35,COVID-19,Hospitalizations,4.2,1.05265,3.1473500000000003
202340,6,COVID-19,Emergency Visits,3.4,1.05265,2.3473499999999996
202340,30,COVID-19,Emergency Visits,3.4,1.05265,2.3473499999999996
202340,20,COVID-19,Emergency Visits,3.4,1.05265,2.3473499999999996
202340,8,COVID-19,Emergency Visits,3.4,1.05265,2.3473499999999996
202340,35,COVID-19,Emergency Visits,3.4,1.05265,2.3473499999999996
202340,4,COVID-19,Hospitalizations,1.6,1.05265,0.54735
202340,9,COVID-19,Hospitalizations,1.6,1.05265,0.54735
202340,13,COVID-19,Hospitalizations,1.6,1.05265,0.54735
202340,24,COVID-19,Hospitalizations,1.6,1.05265,0.54735
202340,4,COVID-19,Emergency Visits,2.5,1.05265,1.44735
202340,9,COVID-19,Emergency Visits,2.5,1.05265,1.44735
202340,13,COVID-19,Emergency Visits,2.5,1.05265,1.44735
202340,24,COVID-19,Emergency Visits,2.5,1.05265,1.44735
202341,32,COVID-19,Hospitalizations,4.4,1.00214,3.3978600000000005
202341,33,COVID-19,Hospitalizations,4.4,1.00214,3.3978600000000005
202341,26,COVID-19,Hospitalizations,4.4,1.00214,3.3978600000000005
202341,10,COVID-19,Hospitalizations,4.4,1.00214,3.3978600000000005
202341,32,COVID-19,Emergency Visits,2.5,1.00214,1.49786
202341,33,COVID-19,Emergency Visits,2.5,1.00214,1.49786
202341,26,COVID-19,Emergency Visits,2.5,1.00214,1.49786
202341,10,COVID-19,Emergency Visits,2.5,1.00214,1.49786
202341,34,COVID-19,Hospitalizations,3.0,1.00214,1.99786
202341,23,COVID-19,Hospitalizations,3.0,1.00214,1.99786
202341,14,COVID-19,Hospitalizations,3.0,1.00214,1.99786
